industry_code,industry_name,sa2_code,sa2_name,0_to_50k_businesses,50k_to_200k_businesses,200k_to_2m_businesses,2m_to_5m_businesses,5m_to_10m_businesses,10m_or_more_businesses,total_businesses
industry_code,Manufacturing,119031374,South Hurstville - Blakehurst,11,15,14,0,0,3,41
industry_code,Manufacturing,119031664,Hurstville - Central,12,6,19,3,0,0,38
industry_code,Manufacturing,119031665,Hurstville - North,7,4,4,0,0,0,16
industry_code,Manufacturing,119031666,Mortdale - Oatley,11,11,8,0,0,0,30
industry_code,Manufacturing,119031667,Penshurst,3,6,6,0,0,0,14
industry_code,Manufacturing,119041377,Kingsgrove (South) - Bardwell Park,9,21,9,0,0,0,39
industry_code,Manufacturing,119041378,Kogarah,8,8,16,4,3,0,37
industry_code,Manufacturing,119041379,Kogarah Bay - Carlton - Allawah,10,16,16,5,0,0,48
industry_code,Manufacturing,119041380,Monterey - Brighton-le-Sands - Kyeemagh,12,20,12,3,0,0,47
industry_code,Manufacturing,119041381,Rockdale - Banksia,15,14,21,8,0,0,58
industry_code,Manufacturing,119041382,Sans Souci - Ramsgate,10,18,13,0,0,0,41
industry_code,Manufacturing,119041668,Arncliffe - Bardwell Valley,13,22,24,4,3,5,69
industry_code,Manufacturing,119041669,Bexley - North,5,6,5,3,0,0,17
industry_code,Manufacturing,119041670,Bexley - South,9,5,14,0,0,0,30
industry_code,Manufacturing,119041671,Wolli Creek,8,9,6,0,0,3,25
industry_code,"Electricity, Gas, Water and Waste Services",119011354,Bass Hill - Georges Hall,3,3,3,0,0,0,4
industry_code,"Electricity, Gas, Water and Waste Services",119011355,Chullora,0,0,0,0,0,0,0
industry_code,"Electricity, Gas, Water and Waste Services",119011356,Condell Park,5,0,7,3,0,0,14
industry_code,"Electricity, Gas, Water and Waste Services",119011358,Padstow,3,0,0,0,0,0,3
industry_code,"Electricity, Gas, Water and Waste Services",119011360,Revesby,0,0,4,3,0,0,8
industry_code,"Electricity, Gas, Water and Waste Services",119011361,Yagoona - Birrong,0,3,3,0,0,0,6
industry_code,"Electricity, Gas, Water and Waste Services",119011571,Bankstown - North,3,3,3,0,0,0,7
industry_code,"Electricity, Gas, Water and Waste Services",119011572,Bankstown - South,0,5,5,0,0,0,12
industry_code,"Electricity, Gas, Water and Waste Services",119011655,Greenacre - North,3,0,3,0,0,0,7
industry_code,"Electricity, Gas, Water and Waste Services",119011656,Greenacre - South,0,3,3,0,0,0,6
industry_code,"Electricity, Gas, Water and Waste Services",119011657,Panania (North) - Milperra,0,0,3,0,0,0,4
industry_code,"Electricity, Gas, Water and Waste Services",119011658,Panania (South) - Picnic Point,0,3,6,0,0,0,8
industry_code,"Electricity, Gas, Water and Waste Services",119021362,Belmore - Belfield,0,4,3,0,0,0,7
industry_code,"Electricity, Gas, Water and Waste Services",119021366,Punchbowl,3,3,0,0,0,0,7
industry_code,"Electricity, Gas, Water and Waste Services",119021367,Roselands,0,0,5,0,0,0,6
industry_code,"Electricity, Gas, Water and Waste Services",119021573,Lakemba,3,3,0,0,0,0,3
industry_code,"Electricity, Gas, Water and Waste Services",119021574,Wiley Park,0,0,0,0,0,0,0
industry_code,"Electricity, Gas, Water and Waste Services",119021659,Campsie - North,0,3,3,0,0,0,4
industry_code,"Electricity, Gas, Water and Waste Services",119021660,Campsie - South,0,0,0,0,0,0,0
